genre,subgenre,id,name,all_genres
all,all,5007577,Zivert,['ruspop']
all,all,41052,Король и Шут,['punk']
all,all,41191,Баста,['rusrap']
all,all,666984,Artik & Asti,['ruspop']
all,all,4944372,NILETTO,['rusrap']
all,all,257461,JONY,"['ruspop', 'rusrap', 'rusestrada']"
all,all,41114,Би-2,['rusrock']
all,all,3292790,Мари Краймбрери,['ruspop']
all,all,41075,КИНО,['rusrock']
all,all,13002,Rammstein,"['industrial', 'rock']"
all,all,161243,Сплин,['rusrock']
all,all,975699,Макс Корж,['rusrap']
all,all,6125147,Тима Белорусских,['ruspop']
all,all,1554548,Dabro,['ruspop']
all,all,36800,Linkin Park,['alternative']
all,all,4331814,Клава Кока,['ruspop']
all,all,79215,Queen,"['rock', 'films']"
all,all,160970,Noize MC,['rusrap']
all,all,6229247,GAYAZOV$ BROTHER$,['ruspop']
all,all,6456325,SLAVA MARLOW,"['ruspop', 'rusrap', 'country']"
all,all,5129397,HammAli & Navai,['rusrap']
all,all,218099,Земфира,['rusrock']
all,all,4330960,Rauf & Faik,"['ruspop', 'pop']"
all,all,156427,Звери,['rusrock']
all,all,3719594,Jah Khalib,['rusrap']
all,all,675068,Imagine Dragons,['rock']
all,all,452202,Макс Барских,['pop']
all,all,4623000,Монеточка,['local-indie']
all,all,161247,Руки Вверх!,['ruspop']
all,all,6467364,NЮ,"['ruspop', 'rusrock', 'pop']"
all,all,1636897,Мот,"['rusrap', 'ruspop', 'foreignrap']"
all,all,6043,Sia,['pop']
all,all,1556385,HENSY,"['ruspop', 'rusrap']"
all,all,42607,Михаил Круг,['shanson']
all,all,155946,Dj Smash,"['dance', 'ruspop', 'electronics']"
all,all,164354,Ария,['classicmetal']
all,all,6841371,Ramil',"['ruspop', 'rusrap', 'pop']"
all,all,4353492,Billie Eilish,['indie']
all,all,41098,Мумий Тролль,['rusrock']
all,all,3304163,Лёша Свик,['ruspop']
all,all,4465783,Miyagi,['rusrap']
all,all,5704222,FREE FLOW FLAVA,['foreignrap']
all,all,6389055,Batrai,"['rusrap', 'ruspop', 'dance']"
all,all,6103852,Нурминский,['rusrap']
all,all,3447668,Burito,['ruspop']
all,all,41166,Ляпис Трубецкой,"['allrock', 'ska', 'punk']"
all,all,3827925,Filatov & Karas,['dance']
all,all,234192,Полина Гагарина,['ruspop']
all,all,1280361,Little Big,['dance']
all,all,8377409,JANAGA,['rusrap']
all,all,722467,MONATIK,['pop']
all,all,5855069,TIMRAN,"['ruspop', 'rusrap', 'dance']"
all,all,219036,Ёлка,['ruspop']
all,all,4101345,Миша Марвин,['ruspop']
all,all,3976197,#2Маши,['ruspop']
all,all,611169,The Weeknd,"['rnb', 'foreignrap', 'pop']"
all,all,165131,Григорий Лепс,['rusestrada']
all,all,5839186,Асия,"['ruspop', 'rusrap', 'house']"
all,all,168862,25/17,['rusrap']
all,all,451523,PIZZA,['ruspop']
all,all,2650515,Ханна,['ruspop']
all,all,358612,ДДТ,['rusrock']
all,all,452,David Guetta,['dance']
all,all,6119595,VERBEE,"['ruspop', 'rusrap', 'dance']"
all,all,155917,МакSим,['ruspop']
all,all,523722,Sam Smith,"['pop', 'electronics', 'dance']"
all,all,404281,LOBODA,['ruspop']
all,all,191175,AC/DC,['hardrock']
all,all,41174,Валерий Меладзе,['rusestrada']
all,all,90,Scorpions,['hardrock']
all,all,8595049,Agunda,"['ruspop', 'pop', 'rusrap']"
all,all,67437,System of A Down,"['rock', 'numetal', 'alternative']"
all,all,4356483,Andro,['ruspop']
all,all,3315646,Порнофильмы,['punk']
all,all,5652191,Анет Сай,['ruspop']
all,all,4733678,ЭGO,['caucasian']
all,all,41134,Агата Кристи,['rusrock']
all,all,796797,Егор Крид,['ruspop']
all,all,5885296,The Limba,"['ruspop', 'rusrap', 'rnb']"
all,all,41138,Nautilus Pompilius,['rusrock']
all,all,218071,Ночные Снайперы,['rusrock']
all,all,219352,Сказки,[]
all,all,4611844,Miyagi & Эндшпиль,['rusrap']
all,all,7720909,TRITICUM,"['dance', 'house', 'techno']"
all,all,3121,Metallica,['classicmetal']
all,all,5608856,MATRANG,['rusrap']
all,all,41154,Кукрыниксы,['rusrock']
all,all,218107,Артур Пирожков,['ruspop']
all,all,1546363,Фиксики,"['forchildren', 'animated']"
all,all,5821649,Ava Max,"['pop', 'dance', 'techno']"
all,all,425796,LOUNA,['numetal']
all,all,6826935,дора,['local-indie']
all,all,36833,Red Hot Chili Peppers,['rock']
all,all,5733065,RASA,"['rusrap', 'ruspop']"
all,all,218073,Пикник,['rusrock']
all,all,36784,Nickelback,"['rock', 'alternative']"
all,all,264454,Zell,"['dance', 'rusrap']"
all,all,5926594,Radio Tapok,"['alternative', 'pop', 'rusrock']"
all,all,2618492,ГРОТ,['rusrap']
all,all,4027035,Cream Soda,"['dance', 'house', 'rusrap']"
all,all,9262,Nirvana,"['rock', 'alternative']"
all,all,430384,Любэ,['rusestrada']
all,all,4110067,Intelligency,"['electronics', 'pop', 'ruspop']"
all,all,3889375,Dua Lipa,"['pop', 'dance', 'house']"
all,all,4764396,Зомб,['rusrap']
all,all,41798,Jack Savoretti,"['foreignbard', 'pop', 'dance']"
all,all,680,Sting,"['pop', 'rock', 'reggae']"
all,all,3247380,Otnicka,"['dance', 'house', 'relax']"
all,all,381067,Ed Sheeran,['pop']
all,all,233939,Звонкий,['ruspop']
all,all,6424360,ФОГЕЛЬ,"['ruspop', 'rap', 'rusrap']"
all,all,49258,Skillet,"['alternative', 'rock']"
all,all,4652316,The Hatters,['ska']
all,all,691572,EMIN,['rusestrada']
all,all,41123,Lumen,['alternative']
all,all,1652733,Машина времени,['rusrock']
all,all,643850,Lana Del Rey,['pop']
all,all,159015,Елена Темникова,['ruspop']
all,all,5098446,ANIVAR,['ruspop']
all,all,36810,Depeche Mode,"['electronics', 'rock', 'alternative']"
all,all,41110,Дима Билан,['ruspop']
all,all,41126,Каста,['rusrap']
all,all,428038,Нервы,['ukrrock']
all,all,8872513,Aslai,"['house', 'foreignrap', 'dance']"
all,all,2663391,Lx24,['ruspop']
all,all,108441,Mitchel,['rusrap']
all,all,426302,ST,['rusrap']
all,all,792433,twenty one pilots,['indie']
all,all,7258431,Тайпан,"['ruspop', 'dance', 'rusrap']"
all,all,139896,Armin van Buuren,"['dance', 'electronics', 'trance']"
all,all,168851,Ленинград,['rusrock']
all,all,419284,Леонид Агутин,['rusestrada']
all,all,3706671,RSAC,['local-indie']
all,all,12674,The Prodigy,['electronics']
all,all,35004,The Beatles,"['rock', 'rnr', 'prog']"
all,all,3767654,Sofi Tukker,['dance']
all,all,588511,Рем Дигга,['rusrap']
all,all,118708,Владимир Высоцкий,['rusbards']
all,all,184100,Three Days Grace,"['rock', 'alternative']"
all,all,218068,Океан Ельзи,['ukrrock']
all,all,756987,T1One,['rusrap']
all,all,41051,Смысловые Галлюцинации,['rusrock']
all,all,41050,Танцы Минус,['rusrock']
all,all,117334,Сергей Лазарев,['ruspop']
all,all,5632509,Raim & Artur,"['rusrap', 'ruspop', 'foreignrap']"
all,all,4944386,Mary Gu,['ruspop']
all,all,1462419,АнимациЯ,['rusrock']
all,all,5322138,StaFFорд63,['rusrap']
all,all,8349622,WYR GEMI,['dance']
all,all,391868,Стас Михайлов,['rusestrada']
all,all,27154,Moby,['electronics']
all,all,6767066,Mia Boyka,['ruspop']
all,all,2943728,Kucher,"['ruspop', 'rusrap', 'pop']"
all,all,12048,Muse,"['alternative', 'rock']"
all,all,168654,Hurts,"['pop', 'dance']"
all,all,359577,Мельница,['folkrock']
all,all,5736663,Nebezao,['dance']
all,all,118885,Modern Talking,"['estrada', 'pop', 'disco']"
all,all,140504,Tiësto,"['dance', 'trance', 'electronics']"
all,all,5763226,Drummatix,"['rusrap', 'electronics', 'ruspop']"
all,all,3266690,Lika Morgan,"['dance', 'electronics', 'house']"
all,all,4664209,Люся Чеботина,['ruspop']
all,all,4752463,Артём Качер,"['ruspop', 'rnb', 'rusrap']"
all,all,2686299,kavabanga Depo kolibri,['rusrap']
all,all,41133,Бумбокс,['ukrrock']
all,all,3892062,MACAN,"['rusrap', 'ruspop', 'foreignrap']"
all,all,1185458,Robin Schulz,"['dance', 'house', 'pop']"
all,all,5441544,Малышарики,['forchildren']
all,all,5952,OneRepublic,"['pop', 'dance', 'rock']"
all,all,1242711,Lindsey Stirling,"['pop', 'modern', 'electronics']"
all,all,6294505,Emma Peters,"['dance', 'pop', 'electronics']"
all,all,671,Coldplay,['rock']
all,all,168372,Кипелов,['classicmetal']
all,all,1905368,Alan Walker,['dance']
all,all,89677,Enigma,['newage']
all,all,158454,GUF,['rusrap']
all,all,1438,Lady Gaga,['pop']
all,all,5240901,Besomorph,"['electronics', 'dance', 'foreignrap']"
all,all,188974,Браво,['rusrock']
all,all,5054100,Дайте танк (!),['local-indie']
all,all,169002,Олег Анофриев,"['fairytales', 'rusestrada', 'forchildren']"
all,all,87968,Thousand Foot Krutch,"['alternative', 'rock']"
all,all,218254,Ирина Круг,['shanson']
all,all,3246342,Скриптонит,['rusrap']
all,all,4034285,Allan Rayman,['rnb']
all,all,445029,Николай Басков,['rusestrada']
all,all,962765,L'One,['rusrap']
all,all,2828193,Slider & Magnit,"['dance', 'house', 'ruspop']"
all,all,3942411,BTS,['kpop']
all,all,427140,VAVAN,['ruspop']
